ts,tide_m,stationId
2023-01-01 00:00:00,1.2,STATION001
2023-01-01 01:00:00,1.5,STATION001
2023-01-01 02:00:00,1.8,STATION001
2023-01-01 03:00:00,2.1,STATION001
2023-01-01 04:00:00,2.3,STATION001
2023-01-01 05:00:00,2.4,STATION001
2023-01-01 06:00:00,2.3,STATION001
2023-01-01 07:00:00,2.1,STATION001
2023-01-01 08:00:00,1.8,STATION001
2023-01-01 09:00:00,1.5,STATION001
2023-01-01 10:00:00,1.2,STATION001
2023-01-01 11:00:00,0.9,STATION001
2023-01-01 12:00:00,0.7,STATION001
2023-01-01 13:00:00,0.6,STATION001
2023-01-01 14:00:00,0.7,STATION001
2023-01-01 15:00:00,0.9,STATION001
2023-01-01 16:00:00,1.2,STATION001
2023-01-01 17:00:00,1.5,STATION001
2023-01-01 18:00:00,1.8,STATION001
2023-01-01 19:00:00,2.1,STATION001
2023-01-01 20:00:00,2.3,STATION001
2023-01-01 21:00:00,2.4,STATION001
2023-01-01 22:00:00,2.3,STATION001
2023-01-01 23:00:00,2.1,STATION001
2023-01-02 00:00:00,1.8,STATION001
2023-01-02 01:00:00,1.5,STATION001
2023-01-02 02:00:00,1.2,STATION001
2023-01-02 03:00:00,0.9,STATION001
2023-01-02 04:00:00,0.7,STATION001
2023-01-02 05:00:00,0.6,STATION001
